學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,教育學系,學士班(日間),大陸地區,上海交通大學,Shanghai Jiao Tong University,1,0,1
101,1,公立,一般大學,國立政治大學,教育學系,學士班(日間),日本,佐賀大學,SAGA UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,教育學系,博士班,英國,倫敦大學,UNIVERSITY OF LONDON,1,0,1
101,1,公立,一般大學,國立政治大學,華語文教學博士學位學程,博士班,德意志聯邦共和國,慕尼黑大學,LUDWIG-MAXIMILIANS-UNIVERSITAT MUNCHEN,1,0,1
101,1,公立,一般大學,國立政治大學,中國文學系,學士班(日間),大陸地區,廈門大學,Xiamen University,1,0,1
101,1,公立,一般大學,國立政治大學,中國文學系,學士班(日間),大韓民國(南韓),釜山大學,PUSAN NATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,中國文學系,學士班(日間),加拿大,蒙特婁商學院,HEC MONTREAL,1,0,1
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),土耳其共和國,安卡拉大學,ANKARA UNIVERSITY,7,5,2
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),土耳其共和國,畢爾坎特大學,BILKENT UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),大韓民國(南韓),翰林大學,HALLYM UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),日本,長崎大學,NAGASAKI UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),法國,里爾天主教大學,LILLE CATHOLIC UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),美國,史丹福大學,Stanford University,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),大陸地區,中國人民大學,Renmin University of China,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),日本,一橋大學,HITOTSUBASHI UNIVERSITY,1,0,1
