學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,教育學系,學士班(日間),CHN,上海交通大學,SHANGHAI JIAO TONG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,教育學系,學士班(日間),JPN,佐賀大學,SAGA UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,教育學系,博士班,GBR,倫敦大學,UNIVERSITY OF LONDON,1,0,1
101,1,公立,一般大學,國立政治大學,華語文教學博士學位學程,博士班,DEU,慕尼黑大學,LUDWIG-MAXIMILIANS-UNIVERSITAT MUNCHEN,1,0,1
101,1,公立,一般大學,國立政治大學,中國文學系,學士班(日間),CHN,廈門大學,XIAMEN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,中國文學系,學士班(日間),KOR,釜山大學,PUSAN NATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,中國文學系,學士班(日間),CAN,蒙特婁商學院,HEC MONTREAL,1,0,1
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),TRU,安卡拉大學,ANKARA UNIVERSITY,7,5,2
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),TRU,畢爾坎特大學,BILKENT UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),KOR,翰林大學,HALLYM UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),JPN,長崎大學,NAGASAKI UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),FRA,里爾天主教大學,LILLE CATHOLIC UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,土耳其語文學系,學士班(日間),USA,史丹福大學,STANFORD UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),CHN,中國人民大學,RENMIN UNIVERSITY OF CHINA,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,一橋大學,HITOTSUBASHI UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,中央大學,CHUNG-ANG UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,立教大學,RIKKYO UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,杏林大學,KYORIN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,長崎大學,NAGASAKI UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,青山學院大學,AOYAMA GAKUIN UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,宮崎大學,UNIVERSITY OF MIYAZAKI,2,2,0
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,筑波大學,UNIVERSITY OF TSUKUBA,2,0,2
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,慶應義塾大學,KEIO UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),JPN,關西學院大學,KWANSEI GAKUIN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,學士班(日間),USA,史丹福大學,STANFORD UNIVERSITY,2,0,2
